audio_name,applied_effects,GA_effects,similarity_indv,best_fit
42.mp3,"{2: {'drive_db': 17.01}, 5: {'wet_level': 0.27}, 1: {'delay_seconds': 2.41}, 0: {'rate_hz': 17.98}, 3: {'gain_db': -7.26}}",{0: {'rate_hz': 18.14}},0.1982202447163515,
43.mp3,"{3: {'gain_db': 8.76}, 2: {'drive_db': 1.74}, 5: {'wet_level': 0.53}, 0: {'rate_hz': 8.18}}","{3: {'gain_db': -9.28}, 4: {'depth': 0.24}, 2: {'drive_db': 19.58}, 5: {'wet_level': 0.41}, 1: {'delay_seconds': 2.64}, 0: {'rate_hz': 11.73}}",0.1485442308449117,
44.mp3,"{5: {'wet_level': 0.34}, 2: {'drive_db': 4.18}, 3: {'gain_db': 9.74}, 4: {'depth': 0.42}}","{5: {'wet_level': 0.34}, 4: {'depth': 0.59}}",0.39880952380952384,
45.mp3,"{2: {'drive_db': 13.45}, 5: {'wet_level': 0.23}, 3: {'gain_db': 5.67}, 0: {'rate_hz': 14.64}, 4: {'depth': 0.47}, 1: {'delay_seconds': 4.91}}","{3: {'gain_db': 1.49}, 4: {'depth': 0.59}, 0: {'rate_hz': 19.49}, 2: {'drive_db': 4.83}}",0.4134681269256205,
46.mp3,"{4: {'depth': 0.45}, 1: {'delay_seconds': 1.1}, 5: {'wet_level': 0.43}, 2: {'drive_db': 14.28}, 3: {'gain_db': -1.52}}","{2: {'drive_db': 19.32}, 1: {'delay_seconds': 1.57}, 3: {'gain_db': -1.76}, 5: {'wet_level': 0.54}}",0.6519159266342683,
47.mp3,"{4: {'depth': 0.59}, 1: {'delay_seconds': 2.22}, 0: {'rate_hz': 15.89}}","{1: {'delay_seconds': 3.25}, 3: {'gain_db': -1.07}, 4: {'depth': 0.49}, 2: {'drive_db': 1.9}, 0: {'rate_hz': 15.54}, 5: {'wet_level': 0.32}}",0.40632974095598456,
48.mp3,"{4: {'depth': 0.42}, 2: {'drive_db': 15.25}, 0: {'rate_hz': 5.63}}","{3: {'gain_db': 0.47}, 5: {'wet_level': 0.25}, 4: {'depth': 0.49}, 2: {'drive_db': 9.2}}",0.3591530054644808,
49.mp3,"{0: {'rate_hz': 15.03}, 2: {'drive_db': 12.29}, 3: {'gain_db': 4.03}, 1: {'delay_seconds': 1.67}}","{3: {'gain_db': 8.71}, 0: {'rate_hz': 19.91}, 5: {'wet_level': 0.45}, 1: {'delay_seconds': 4.14}, 2: {'drive_db': 19.2}, 4: {'depth': 0.43}}",0.34637984947822625,
50.mp3,{4: {'depth': 0.27}},{4: {'depth': 0.21}},0.8181818181818181,
51.mp3,"{2: {'drive_db': 19.01}, 0: {'rate_hz': 17.17}, 4: {'depth': 0.59}}","{3: {'gain_db': -3.52}, 1: {'delay_seconds': 3.49}, 5: {'wet_level': 0.49}, 2: {'drive_db': 12.19}, 4: {'depth': 0.35}, 0: {'rate_hz': 18.29}}",0.3615386230722471,
52.mp3,{2: {'drive_db': 8.28}},{},0.0,
53.mp3,"{0: {'rate_hz': 4.87}, 3: {'gain_db': 0.8}}",{2: {'drive_db': 14.31}},0.0,
54.mp3,"{3: {'gain_db': -9.37}, 5: {'wet_level': 0.42}, 1: {'delay_seconds': 4.06}, 2: {'drive_db': 13.02}, 0: {'rate_hz': 19.81}, 4: {'depth': 0.49}}","{3: {'gain_db': 8.3}, 2: {'drive_db': 19.55}, 0: {'rate_hz': 11.18}, 5: {'wet_level': 0.26}, 4: {'depth': 0.22}, 1: {'delay_seconds': 1.65}}",0.48927036105745014,
55.mp3,"{4: {'depth': 0.36}, 1: {'delay_seconds': 2.32}, 5: {'wet_level': 0.29}, 3: {'gain_db': 5.4}}","{2: {'drive_db': 10.38}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 2.1}, 4: {'depth': 0.42}}",0.45393997753169635,
