audio_name,applied_effects,GA_effects,similarity_indv,best_fit,similarity_indv_effects_only
152.mp3,"{3: {'gain_db': 9.47}, 5: {'wet_level': 0.3}}","{2: {'drive_db': 3.62}, 5: {'wet_level': 0.31}, 3: {'gain_db': 7.6}}",0.6235404896421844,0.3724466380572116,0.6666666666666666
153.mp3,"{5: {'wet_level': 0.36}, 0: {'rate_hz': 18.67}}","{5: {'wet_level': 0.22}, 0: {'rate_hz': 15.96}}",0.631649688737974,0.026090721788414,1.0
154.mp3,"{1: {'delay_seconds': 1.5}, 3: {'gain_db': 0.23}, 2: {'drive_db': 5.08}, 5: {'wet_level': 0.31}}","{5: {'wet_level': 0.34}, 3: {'gain_db': 5.55}, 1: {'delay_seconds': 1.5}}",0.5941281558634173,0.9961148197431872,0.75
155.mp3,{0: {'rate_hz': 18.72}},{0: {'rate_hz': 18.49}},0.9870203160270881,0.6927403220885416,1.0
156.mp3,"{0: {'rate_hz': 16.28}, 4: {'depth': 0.51}}","{4: {'depth': 0.49}, 0: {'rate_hz': 17.42}, 5: {'wet_level': 0.21}, 3: {'gain_db': 1.08}}",0.4652191352812025,3.3669618592983506,0.5
157.mp3,"{2: {'drive_db': 5.71}, 1: {'delay_seconds': 1.79}, 4: {'depth': 0.39}, 0: {'rate_hz': 18.22}, 5: {'wet_level': 0.48}, 3: {'gain_db': -4.39}}","{0: {'rate_hz': 17.26}, 1: {'delay_seconds': 1.78}, 2: {'drive_db': 18.59}, 5: {'wet_level': 0.21}}",0.3459200484795422,0.9355283436640068,0.6666666666666666
158.mp3,"{3: {'gain_db': 2.37}, 2: {'drive_db': 14.93}, 0: {'rate_hz': 15.0}, 5: {'wet_level': 0.53}, 1: {'delay_seconds': 1.31}}","{1: {'delay_seconds': 3.91}, 4: {'depth': 0.58}}",0.05907859078590785,1.057688400776559,0.2
159.mp3,"{0: {'rate_hz': 4.52}, 1: {'delay_seconds': 2.64}, 4: {'depth': 0.46}, 3: {'gain_db': -5.46}, 5: {'wet_level': 0.39}, 2: {'drive_db': 11.94}}","{1: {'delay_seconds': 2.68}, 4: {'depth': 0.52}, 0: {'rate_hz': 4.07}, 2: {'drive_db': 8.88}, 5: {'wet_level': 0.32}}",0.6850285034139311,24.358732917404968,0.8333333333333333
160.mp3,{4: {'depth': 0.59}},"{4: {'depth': 0.52}, 2: {'drive_db': 2.24}}",0.4102564102564103,2.6434671585155174,0.5
161.mp3,"{0: {'rate_hz': 12.46}, 4: {'depth': 0.33}, 5: {'wet_level': 0.34}}","{4: {'depth': 0.33}, 3: {'gain_db': -4.27}, 0: {'rate_hz': 16.3}, 5: {'wet_level': 0.29}}",0.6181534434152235,3.2978532622938093,0.75
162.mp3,"{5: {'wet_level': 0.38}, 0: {'rate_hz': 11.17}, 1: {'delay_seconds': 4.6}, 4: {'depth': 0.49}}","{3: {'gain_db': -7.05}, 1: {'delay_seconds': 4.87}, 4: {'depth': 0.57}, 0: {'rate_hz': 2.3}, 5: {'wet_level': 0.48}}",0.46448388369505245,10.950676659464085,0.8
163.mp3,{3: {'gain_db': -5.04}},{3: {'gain_db': 6.3}},0.24601063829787229,0.1901605062035168,1.0
164.mp3,"{2: {'drive_db': 19.47}, 5: {'wet_level': 0.45}, 1: {'delay_seconds': 3.7}, 4: {'depth': 0.25}, 0: {'rate_hz': 3.21}, 3: {'gain_db': 1.78}}","{3: {'gain_db': 8.56}, 1: {'delay_seconds': 3.06}, 2: {'drive_db': 18.86}, 5: {'wet_level': 0.55}}",0.45906410846219015,0.7078025368826348,0.6666666666666666
165.mp3,"{0: {'rate_hz': 8.62}, 3: {'gain_db': -8.14}, 5: {'wet_level': 0.43}, 1: {'delay_seconds': 2.13}}","{0: {'rate_hz': 13.26}, 1: {'delay_seconds': 2.19}, 5: {'wet_level': 0.52}, 2: {'drive_db': 16.74}}",0.5450142160385243,0.6229244124984318,0.75
166.mp3,"{0: {'rate_hz': 13.84}, 2: {'drive_db': 18.89}, 4: {'depth': 0.43}, 3: {'gain_db': 3.91}, 1: {'delay_seconds': 3.92}}","{1: {'delay_seconds': 3.87}, 0: {'rate_hz': 13.24}, 4: {'depth': 0.4}, 3: {'gain_db': 3.26}}",0.7517967971589675,7.756128538934241,0.8
167.mp3,"{3: {'gain_db': 5.5}, 1: {'delay_seconds': 3.76}}","{3: {'gain_db': 6.89}, 1: {'delay_seconds': 3.78}}",0.9515381019167836,0.5838726198192402,1.0
168.mp3,"{2: {'drive_db': 7.11}, 3: {'gain_db': -4.33}}",{2: {'drive_db': 12.02}},0.30954228083785884,0.2312708415327613,0.5
169.mp3,"{5: {'wet_level': 0.57}, 0: {'rate_hz': 3.87}}","{5: {'wet_level': 0.59}, 0: {'rate_hz': 3.86}, 2: {'drive_db': 2.45}}",0.648441994381238,1.944681123532143,0.6666666666666666
170.mp3,"{3: {'gain_db': -9.92}, 2: {'drive_db': 16.34}, 1: {'delay_seconds': 3.04}, 4: {'depth': 0.27}, 0: {'rate_hz': 10.7}}","{4: {'depth': 0.42}, 1: {'delay_seconds': 2.84}, 3: {'gain_db': 5.13}, 0: {'rate_hz': 10.78}}",0.5367291637468891,15.048942978718255,0.8
171.mp3,"{0: {'rate_hz': 12.71}, 4: {'depth': 0.24}, 5: {'wet_level': 0.53}, 1: {'delay_seconds': 2.0}}","{2: {'drive_db': 10.34}, 3: {'gain_db': -6.21}, 5: {'wet_level': 0.27}, 1: {'delay_seconds': 2.28}, 4: {'depth': 0.31}, 0: {'rate_hz': 3.98}}",0.3631377969849362,0.7299901998829993,0.6666666666666666
172.mp3,"{3: {'gain_db': -5.13}, 2: {'drive_db': 18.71}, 1: {'delay_seconds': 2.62}}","{3: {'gain_db': -0.32}, 2: {'drive_db': 9.36}, 1: {'delay_seconds': 2.62}}",0.7180460850681258,0.3734894884603436,1.0
173.mp3,"{2: {'drive_db': 5.73}, 5: {'wet_level': 0.5}, 0: {'rate_hz': 4.36}, 4: {'depth': 0.32}, 3: {'gain_db': 0.75}}","{4: {'depth': 0.34}, 5: {'wet_level': 0.55}, 0: {'rate_hz': 3.77}, 2: {'drive_db': 8.68}}",0.7034907153196734,0.9294307928370784,0.8
174.mp3,"{1: {'delay_seconds': 1.83}, 0: {'rate_hz': 4.79}, 2: {'drive_db': 9.49}}","{0: {'rate_hz': 4.75}, 2: {'drive_db': 6.64}, 1: {'delay_seconds': 2.54}, 3: {'gain_db': -1.3}}",0.6255562684556714,1.4811111806457955,0.75
175.mp3,{3: {'gain_db': 3.47}},{3: {'gain_db': 3.5}},0.9977728285077951,0.4002367535882822,1.0
176.mp3,{4: {'depth': 0.33}},"{3: {'gain_db': -1.1}, 4: {'depth': 0.34}}",0.48148148148148145,0.0160581812123545,0.5
177.mp3,"{3: {'gain_db': -8.28}, 0: {'rate_hz': 15.78}, 2: {'drive_db': 5.27}, 1: {'delay_seconds': 3.76}}",{0: {'rate_hz': 6.02}},0.08491204330175914,0.6660922737070697,0.25
178.mp3,{4: {'depth': 0.57}},"{4: {'depth': 0.59}, 2: {'drive_db': 18.41}}",0.4729729729729729,0.3451931536068722,0.5
179.mp3,"{0: {'rate_hz': 17.02}, 5: {'wet_level': 0.38}}","{0: {'rate_hz': 16.96}, 3: {'gain_db': 2.0}, 5: {'wet_level': 0.37}, 2: {'drive_db': 13.71}}",0.48770003404834866,0.2156038767054857,0.5
180.mp3,"{2: {'drive_db': 9.38}, 5: {'wet_level': 0.57}, 0: {'rate_hz': 10.37}, 3: {'gain_db': -2.05}, 4: {'depth': 0.23}}","{0: {'rate_hz': 1.28}, 3: {'gain_db': -1.56}, 2: {'drive_db': 9.84}, 5: {'wet_level': 0.39}, 4: {'depth': 0.28}}",0.6700949486753924,0.272241289789224,1.0
181.mp3,"{1: {'delay_seconds': 1.64}, 5: {'wet_level': 0.25}}","{3: {'gain_db': 7.19}, 1: {'delay_seconds': 1.64}, 5: {'wet_level': 0.27}}",0.6476190476190475,0.8837423100471902,0.6666666666666666
182.mp3,"{4: {'depth': 0.52}, 2: {'drive_db': 1.36}, 3: {'gain_db': -1.03}, 1: {'delay_seconds': 2.58}, 0: {'rate_hz': 8.37}}","{4: {'depth': 0.46}, 1: {'delay_seconds': 4.78}, 0: {'rate_hz': 9.21}, 3: {'gain_db': -4.43}, 2: {'drive_db': 17.16}}",0.5350584760271634,5.613291220767582,1.0
183.mp3,"{3: {'gain_db': -0.28}, 0: {'rate_hz': 12.56}, 2: {'drive_db': 8.62}}","{2: {'drive_db': 19.93}, 0: {'rate_hz': 12.7}, 5: {'wet_level': 0.41}}",0.3313468052371367,0.6242124058322247,0.6666666666666666
184.mp3,{5: {'wet_level': 0.39}},"{5: {'wet_level': 0.41}, 2: {'drive_db': 8.21}, 3: {'gain_db': 9.37}}",0.3015873015873016,0.5111376204590625,0.3333333333333333
